0	1	
1	1	
2	1	1.1. We are My.com B.V. located at Barbara Strozzilaan 201, 1083HN, Amsterdam, the Netherlands.
3	1	"1.2. This Privacy Policy sets out how we collect and use your personal information when you use the mobile, online and downloadable products and services (""Services"") offered by My.com B.V. and its subsidiaries at https://my.com/ and the choices available to you in connection with our use of your personal information (the Privacy Policy).This Privacy Policy should be read alongside, and in addition to, our terms and conditions at https://legal.my.com/us/games/tou/ (Terms) and our Cookie Policy (accessible online at https://legal.my.com/us/general/cookie).In case of any contradictions between this Privacy Policy and the Terms, this Privacy Policy will prevail."
4	1	
5	1	2.1. By making available the Services we, acting reasonably and in good faith, believe that you:(a) have all necessary rights to register on and use the Services;(b) provide true information about yourself  to the extent necessary for use of the Services;(c) understand that by the posting your personal information where it is accessible by other users of the Services you have manifestly made this information public, and this information may become available to other Site users and internet users, be copied and disseminated by them;(d) understand that some types of information transferred by you to other Service users cannot be deleted by you or us;(e) are aware of and accept this Privacy Policy.
6	1	2.2. We do not check the user information received from you, except where such check is necessary in order for us to fulfill our obligations to you.
7	1	2.3. This Privacy Policy applies only to the European Union-based users. If you are not a European Union-based user, please refer to the Privacy Policy applicable in the relevant jurisdiction.
8	1	
9	1	3.1. In order to implement the agreement between you and us, and provide you with access to the use of the Services, we will improve, develop and implement new features to our Services, and enhance the available Services functionality. To achieve these objectives, and in compliance with applicable laws, we will collect, store, aggregate, organise, extract, compare, use, and supplement your data (hereinafter “processing”). We will also receive and pass this data, and our automatically processed analyses of this data to our affiliates and partners as set out in the table below and section 4 of this Privacy Policy.
10	1	3.2. We set out in more detail the information we collect when you use our Services, why we collect and process it and the legal bases below.
11	1	
12	1	Information Collected
13	1	Purpose
14	1	Legal Basis
15	1	1
16	1	Data you provide for registering in the Services including your email and/or mobile phone number
17	1	We use this information in order to manage and administer the Services provided to you.We use this data to enable us to fulfill our obligations to you as part of the Services (e.g. in cases where you request restoration of your account).See section 8.3 of this Privacy Policy for more information.We also use this information in order to provide you with updates and information on our and selected third parties' products and services we think you may be interested in.
18	1	Legitimate interestsPerformance of our contract with you
19	1	2
20	1	Where necessary, a copy of your identity or  another document containing your name, surname, photograph, number of the principal identity document of you or your representative, payment details and another additional data, with that you may provide us, including through our support service.We may take additional verification steps where we consider reasonable in order to verify your account.
21	1	We use this data in order to identify you, verify your account and prevent abuse and infringements of your or other persons' rights.For example, we use this information to verify your identity if you lose your credentials and wish to access your account with us.
22	1	Legitimate Interests
23	1	3
24	1	Additional data you provide when you edit your profile page at https://account.my.com/profile/ or on dedicated Services profile page via including your first and last name, nickname, gender, date of birth, avatar picture and language preferences.
25	1	We use this information in order to provide our Services to you, to manage and administer Services and as additional infromation to verify your account to prevent abuse and infringements of your or other persons' rights.We also use this information in order to provide you with updates and information on our and selected third parties' products and services we think you may be interested in.We use this information in order to tailor and improve the adverts that are presented on the Site and measure the effectiveness of these advertisements.
26	1	Legitimate interestsPerformance of our contract with you
27	1	4
28	1	Additional data received when you access the Services, including information  regarding technical devices, technical interaction with the Service such as your IP-address, time of registration in the Service, device ids, country and language settings, device model and operating system used, your installed apps, type of browser, your Internet provider and/or phone network operator, network type, screen resolution, RAM size and your browsing behavior.
29	1	We use your data for internal review in order to constantly improve the content of our Services and web pages, optimizing your user experience, to understand any errors you may encounter when using the Services, to notify you of changes to the Services and to personalise the use of our Services.We use this information in order to tailor and improve the adverts that are presented on the Site and measure the effectiveness of these advertisements.
30	1	Legitimate Interests
31	1	5
32	1	Information that is automatically received at the time of access to the Services with the use of cookies.
33	1	Please see our cookies policy which sets out the types of cookies we use and what we use these cookies for. We use this information in order to tailor and improve the adverts that are presented on the Site and measure the effectiveness of these advertisements.
34	1	Consent
35	1	6
36	1	Information that is created by you while using the Services (including information that you post in any game forums and/or chat rooms). Depending on the place of posting (chat room or forum) this information can be available to some or all other users of our Services.
37	1	We use this information in order to manage and administer the Services including providing our services to you.
38	1	Legitimate interests, which inter alia, include the processing of manifestly made public by you data where it is accessible by other users of the Services Performance of our contract with you
39	1	7
40	1	Information that is created by you while placing requests to our Services support.
41	1	We use this information in order to verify your identity and to fullfil your support request.We may also use this data in order to investigate any complaints on your behalf and to provide you with a more efficient service.
42	1	Legitimate interestsPerformance of our contract with you
43	1	8
44	1	Information that is received as the result of your behavioral actions when using the Services (including your game actions and achievements, badges). This information can be available to other users of our Services (e.g. on Leaderboards).
45	1	We use this information in order to manage and administer the Services including providing our Services to you.We may also use this data in order to tailor and improve the adverts that are presented to you to and measure the effectiveness of these advertisements.
46	1	Legitimate interests
47	1	9
48	1	Information that is received about you as the result of other users’ actions on the Services (in particular, information posted in chat rooms and forums by other users).
49	1	We use this information in order to manage and administer the Services including providing our Services to you.
50	1	Legitimate interests
51	1	10
52	1	Data collected via third parties, including your social network ids, application store ids, nickname, email and friends list, when you register in our Services via you social or application store accounts and/or connect your social account to our Services.
53	1	We use this information in order to manage and administer the Services provided to you.We use this information for certain social functions of our Services, such as to show you who of your friends play the same game as you.We also use this information in order to provide you with updates and information on our and selected third parties' products and services we think you may be interested in.
54	1	Legitimate interestsPerformance of our contract with you
55	1	
56	1	3.3. Our legitimate interests include  (1) maintaining and administrating the Services; (2) providing the Services to you; (3) improving the content of the Services and web pages; (4) processing of the data that was manifestly made public by you where it is accessible by other users of the Services; (5) ensuring your account is adequately protected; and (6) compliance with any contractual, legal or regulatory obligations under any applicable law.
57	1	3.4. As part of maintaining and administrating the Services we use the information to analyse user activity and ensure that rules and terms of use for the Services are not violated.
58	1	3.5. Your personal information may also be processed if it is required by a law enforcement or regulatory authority, body or agency or in the defence or exercise of legal claims.We will not delete personal information if it is relevant to an investigation or a dispute.It will continue to be stored until those issues are fully resolved and/or during the term that is required and/or permissible under applicable/relevant law.
59	1	3.6. You may withdraw your consent to sending you marketing information by amending your privacy settings of your account.An option to unsubscribe will also be included in every SMS or email sent to you by us or our selected third party partners.
60	1	3.7. Please note, if you do not want us to process sensitive and special categories of data about you (including data relating to your health, racial or ethnic origin, political opinion, religious or philosophical beliefs, sex life, and your sexual orientation) you should take care not to post this information or share this data on the Site.Once you have provided this data it will be accessible by other site users and it becomes difficult for us to remove this data.
61	1	3.8. Please note, if you withdraw your consent to processing or you do not provide the data that we require in order to maintain and administer the Services, you may not be able to access the Services or register with the web pages.
62	1	3.9. If we intend to further process your data for any other purpose to those set out in this Privacy Policy, we shall provide you with details of this further purpose before we commence processing.
63	1	
